demand,sw,gw,climate,indicator,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High Dem,100%,20%,0,Unmet_Demand_Household,23.155123,22.28095,76.05975,1505.493199,2305.467836,3399.129156,471.886568,961.907488,479.441854,1181.343973,4288.424431,4253.898382,3196.83417,5386.063387,9006.885002,5810.12003,5029.400137,3917.16631,8884.472997,11939.2418,9747.536676,10593.48571,13681.62871,11831.4086,14171.25711,10995.36517,10776.04344,13589.16161,12762.73346,15813.51322,18649.61194,21854.92089,27274.07157,54239.71319,78749.24726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High Dem,100%,60%,0,Unmet_Demand_Household,0,0,0,348.173056,461.820113,708.095059,0,10.904983,0,0,452.875473,523.235443,278.534339,904.096881,2478.586629,950.820515,1325.741558,1073.644447,3893.837896,6095.410833,4632.054311,5691.864746,7770.177108,7492.330502,9886.233513,6905.169059,7833.89459,9764.568624,8951.325759,11945.45552,15184.37172,17963.06921,23319.31989,47044.9914,68715.72766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High Dem,20%,100%,0,Unmet_Demand_Household,172.673392,242.963078,319.030638,586.441522,764.831519,981.424724,686.319402,795.685277,913.256933,1039.599942,1180.771642,2239.049598,5006.168107,5673.301783,7592.939157,8900.607705,9445.736846,10285.15347,13703.01285,15214.52046,16795.34922,20415.77872,24737.98856,26168.75351,28434.11245,30601.8438,33061.93685,35890.85186,37703.7022,40729.62441,43964.24559,48052.69099,52407.76233,65656.01925,83594.51512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High Dem,20%,20%,0,Unmet_Demand_Household,638.066561,1247.331618,2381.064155,4430.947614,6186.346207,8424.900958,9056.661772,11245.74917,13472.78847,15933.60349,18954.75968,21617.53834,24413.59479,27896.7995,31693.84628,33007.91038,34630.73959,36622.47375,38864.91842,40983.41241,42781.03864,44655.59178,47089.46385,49304.90192,51809.60325,53743.35883,56111.88535,58836.02782,61256.30029,64137.66621,66903.83185,70178.23769,73891.87348,84361.77752,97818.98952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High Dem,20%,60%,0,Unmet_Demand_Household,274.830527,345.120078,421.186638,677.602356,853.972006,1078.152272,788.482207,979.579069,1325.818251,1925.422622,3049.149484,4874.455301,7120.627499,9966.15871,14972.98577,16700.70308,18321.29653,20164.82318,22630.60048,25430.9247,27176.70746,29105.88692,31423.88054,33628.6305,37311.75598,39117.55549,42005.97344,44977.61772,47080.33449,50007.63754,53317.58172,56486.43223,61251.85129,74450.85716,87913.67267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High Dem,60%,20%,0,Unmet_Demand_Household,186.15065,220.417028,312.231388,1669.922613,2537.556492,3748.407627,1371.711086,2480.531873,3010.205772,4608.337326,7829.219547,8953.708571,9384.089734,12443.17357,15879.41128,14797.5945,15223.55265,15969.64247,18863.12426,21846.99041,21161.08786,22659.98608,25548.54103,25305.87523,27816.91622,26950.19988,28281.07682,30735.1733,31606.52717,33998.57332,37135.89674,40632.38904,45527.65464,66678.44564,86865.26853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High Dem,60%,100%,0,Unmet_Demand_Household,0,0,31.847638,367.875522,517.706519,745.364695,215.517402,270.158365,328.948782,392.159583,480.108799,1034.394907,2414.235792,2883.437412,4021.127878,4353.088279,4730.375233,4714.603363,7168.506382,8835.398092,8034.82354,10066.57852,12533.92736,11283.16863,13118.85138,12473.88514,13352.82137,14999.17892,14539.31741,17173.22731,19839.4175,22754.58861,27470.48062,49403.07459,72979.11199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High Dem,60%,60%,0,Unmet_Demand_Household,60.825527,95.973055,134.014638,459.034356,606.85183,842.088272,317.680402,372.297097,431.084871,494.250595,889.190417,982.090838,960.545095,1538.564881,4624.853854,4024.510047,4371.847917,4349.001604,7164.752707,9584.700915,8567.488379,9768.831955,12076.87324,12884.00692,15342.18703,14204.15573,15558.01819,17971.37677,18334.27743,21249.09209,24651.81564,28016.5246,33755.32541,56721.48274,76991.37496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REF,100%,100%,0,Unmet_Demand_Irrigation,0,0,0,0,77.879914,58.571356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.171842,174.2513,84.705601,85.198688,304.172599,412.59779,88.390728,202.458855,1107.786786,4142.159004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REF,100%,20%,0,Unmet_Demand_Irrigation,0,0,0,0,66.28356,50.948495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.451842,154.788528,41.184722,73.037736,237.73928,301.574664,0.426656,23.645231,441.587186,2368.494098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REF,100%,60%,0,Unmet_Demand_Irrigation,0,0,0,0,76.346993,57.809704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.171842,174.2513,84.705601,85.198688,304.172599,412.592347,88.390728,202.458855,1079.778991,4091.614184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REF,20%,100%,0,Unmet_Demand_Irrigation,0,0,0,0,77.879914,58.571356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.171842,174.2513,84.705601,85.198688,304.172599,412.592347,88.390728,202.458855,1107.685996,4142.148111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REF,20%,20%,0,Unmet_Demand_Irrigation,0,0,0,0,66.28356,50.948495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.456885,154.788528,41.186065,73.037736,237.73928,301.569221,0.426656,23.645231,441.647609,2368.371898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REF,20%,60%,0,Unmet_Demand_Irrigation,0,0,0,0,76.346993,57.809704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.171842,174.2513,84.705601,85.198688,304.172599,412.592347,88.390728,202.458855,1079.850832,4091.578813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REF,60%,60%,0,Unmet_Demand_Irrigation,0,0,0,0,76.346993,57.809704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.171842,174.2513,84.705601,85.198688,304.172599,412.59779,88.390728,202.458855,1079.829781,4091.624185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REF,60%,100%,0,Unmet_Demand_Irrigation,0,0,0,0,77.879914,58.571356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.171842,174.2513,84.705601,85.198688,304.172599,412.59779,88.390728,202.458855,1107.787829,4142.092413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REF,60%,20%,0,Unmet_Demand_Irrigation,0,0,0,0,66.28356,50.948495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.451842,154.788528,41.186065,73.037736,237.73928,301.569221,0.426656,23.645231,441.556819,2368.371898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High Dem,100%,100%,0,Unmet_Demand_Irrigation,0,0,0,57.121368,122.609477,114.644248,0,0,0,0,2.412739,32.872557,20.812089,70.561344,26.557632,129.598738,175.683417,259.361478,324.197273,243.14161,354.286728,628.38348,391.613666,354.882056,403.871594,976.109309,1397.316545,1867.333552,1083.547552,2024.81195,2408.581073,1711.294882,2852.126604,6147.429349,11097.87025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High Dem,100%,20%,0,Unmet_Demand_Irrigation,0,0,0,41.667428,101.906315,94.519708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.712842,168.488528,66.692722,73.037736,237.73928,325.949205,0.426656,889.112062,2137.77749,3733.003036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High Dem,100%,60%,0,Unmet_Demand_Irrigation,0,0,0,45.927885,113.175016,102.750317,0,0,0,0,0,29.433115,2.330521,19.401352,0,65.594163,87.725572,192.052741,155.226014,86.25707,93.286494,381.048285,190.798887,26.976297,74.765091,706.946483,1035.8941,1448.074816,824.399508,1755.745382,2039.954595,1176.856283,2148.975508,4282.482923,8326.645865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High Dem,20%,100%,0,Unmet_Demand_Irrigation,0,0,0,57.121368,122.609477,114.644248,0,0,0,0,2.412739,32.872557,20.812089,70.561344,26.557632,129.598738,175.683417,259.361478,324.197273,243.14161,354.286728,628.38348,391.613666,354.882056,403.871594,976.109309,1397.313404,1867.334552,1083.548352,2024.81315,2408.581573,1711.299838,2852.131504,6180.25964,11097.80062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High Dem,20%,20%,0,Unmet_Demand_Irrigation,0,0,0,41.667428,101.906315,94.519708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.712842,168.488528,66.692722,73.037736,237.73928,325.946762,179.129649,1218.602281,2137.688957,3732.911203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High Dem,20%,60%,0,Unmet_Demand_Irrigation,0,0,0,45.927885,113.175016,102.750317,0,0,0,0,0,29.433115,2.330521,19.401352,0,65.594163,87.725572,192.052741,155.226014,86.25707,93.286494,381.048285,190.798887,26.976297,74.765091,706.946483,1035.8971,1448.081116,824.399508,1755.744982,2039.959395,1176.867083,2148.979608,4282.489746,8326.592349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High Dem,60%,20%,0,Unmet_Demand_Irrigation,0,0,0,41.667428,101.906315,94.519708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.712842,168.488528,66.696065,73.037736,237.73928,325.946762,0.426656,1026.175514,2137.687157,3732.911203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High Dem,60%,100%,0,Unmet_Demand_Irrigation,0,0,0,57.121368,122.609477,114.644248,0,0,0,0,2.412739,32.872557,20.812089,70.561344,26.557632,129.598738,175.683417,259.361478,324.197273,243.14161,354.286728,628.38348,391.613666,354.882056,403.871594,976.109309,1386.057563,1867.334552,1083.548352,2024.81315,2408.581573,1711.297838,2852.131504,6146.742097,11079.40319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High Dem,60%,60%,0,Unmet_Demand_Irrigation,0,0,0,45.927885,113.175016,102.750317,0,0,0,0,0,29.433115,2.330521,19.401352,0,65.594163,87.725572,192.052741,155.226014,86.25707,93.286494,381.048285,190.798887,26.976297,74.765091,706.946483,1035.8981,1448.080616,824.399508,1755.745382,2039.959795,1176.865083,2148.979608,4282.375181,8326.324881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
